record_id,asset_id,asset_type,station,route,last_service_date,days_since_service,fault_type,fault_count_30d,health_score,health_status,technician_note,recommended_action,temperature_celsius,vibration_level,oil_pressure_bar,fuel_efficiency_pct,axle_temp_celsius,wheel_profile_mm,pad_thickness_mm,brake_cylinder_pressure_bar,stopping_distance_m,response_time_ms,voltage_output_v,contact_resistance_ohm,rail_wear_mm,gauge_deviation_mm,ballast_void_pct,motor_current_a,cycle_time_seconds,sensor_reliability_pct
9daa938b-9d96-4ec7-abf3-e2b2a0d92a99,BG-1004,bogie,Badulla,Colombo Fort - Trincomalee,2026-04-24,139,none,0,64.84,AMBER,Monthly service carried out. Fluid levels checked. All systems operating normally.,Inspect wheel profile and axle bearings within 7 days.,,2.36,,,46.7,129.7,,,,,,,,,,,,
1e7c435d-c2b7-4534-bd28-43a6c0945f15,BG-1005,bogie,Aluthgama,Colombo Fort - Kandy,2026-08-07,34,none,0,88.82,GREEN,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Continue normal inspection schedule. Next check in 30 days.,,2.09,,,36.9,133.8,,,,,,,,,,,,
66fcd549-677c-4b1d-8b7b-51bf40a237a4,SG-1006,signal_unit,Kurunegala,Kandy - Badulla,2026-04-01,162,none,0,71.37,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue normal monitoring schedule.,,,,,,,,,,189,22.8,0.284,,,,,,
bd52faca-bdc5-40f5-89dc-58aa3a91cb06,TR-1003,track_section,Maradana,Colombo Fort - Kandy,2026-06-17,85,none,0,79.95,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue routine geometry inspections.,,,,,,,,,,,,,2.15,1.43,6.9,,,
fcf6fc01-dcb4-4f96-9d89-47c1389a89ae,BR-1004,brake_system,Gampaha,Colombo Fort - Kandy,2026-03-18,176,none,0,59.34,AMBER,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Inspect brake pads and cylinders within 3 days. Test stopping distance.,,,,,,,10.5,5.53,294,,,,,,,,,
ef5369d9-708f-41ef-8ac6-27f0dc44e81d,DE-1003,diesel_engine,Peradeniya,Colombo Fort - Trincomalee,2026-08-31,10,none,0,91.93,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue normal scheduled maintenance. Next service in 30 days.,79.2,2.2,4.58,92.5,,,,,,,,,,,,,,
5a0a9757-f7b3-42f2-bd47-c64f5c53193a,PG-1004,platform_gate,Hikkaduwa,Colombo Fort - Galle,2026-07-12,60,none,0,94.02,GREEN,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Continue routine operational checks.,,,,,,,,,,,,,,,,2.66,8.8,97.2
69c4680d-0cda-4011-b798-e5a0cd63fb5c,TR-1004,track_section,Nanu Oya,Colombo Fort - Trincomalee,2026-03-23,171,none,0,67.97,AMBER,Routine inspection completed. No issues found. All readings within normal range.,Schedule track geometry check within 5 days. Inspect rail joints.,,,,,,,,,,,,,3.48,2.6,10.3,,,
82e901ad-fb8e-4544-aebf-0f236bd73468,TR-1005,track_section,Maho,Colombo Fort - Galle,2026-05-16,117,none,0,79.84,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue routine geometry inspections.,,,,,,,,,,,,,1.5,1.69,10.0,,,
8113d03f-1150-4171-8f5e-5497ec11e13d,BG-1006,bogie,Jaffna,Colombo Fort - Kandy,2026-07-01,71,none,0,75.64,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal inspection schedule. Next check in 30 days.,,2.47,,,50.4,130.6,,,,,,,,,,,,
850926ef-2d44-4345-8c84-4dabddc5fba2,DE-1004,diesel_engine,Anuradhapura,Colombo Fort - Galle,2026-04-15,148,none,0,70.1,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue normal scheduled maintenance. Next service in 30 days.,89.9,2.85,3.88,85.0,,,,,,,,,,,,,,
76ae2e07-fedb-4765-a1ab-0d322b2e5e19,DE-1005,diesel_engine,Moratuwa,Colombo Fort - Galle,2026-07-07,65,oil_leak,5,67.37,AMBER,Oil level dropped 2L below minimum. Identified cracked oil pan. Scheduled replacement.,Schedule inspection within 7 days. Check oil and cooling system.,93.0,3.29,3.62,82.2,,,,,,,,,,,,,,
f41c7061-652a-49ec-a56f-fba975cb32b3,EL-1008,electric_loco,Nanu Oya,Colombo Fort - Kandy,2026-03-24,170,none,0,61.39,AMBER,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Check electrical systems within 5 days. Run full diagnostic cycle.,89.3,4.27,3.84,81.3,,,,,,,,,,,,,,
22694dcb-b0f0-449a-a40a-bdbd1213e43c,BG-1007,bogie,Vavuniya,Colombo Fort - Matara,2026-08-09,32,suspension_worn,4,59.39,AMBER,Coil spring sag of 12mm beyond tolerance. Springs replaced. Ride height restored to spec.,Inspect wheel profile and axle bearings within 7 days.,,3.26,,,49.6,128.3,,,,,,,,,,,,
28dc8158-255e-4288-939e-54678eb2a500,BG-1008,bogie,Kurunegala,Colombo Fort - Badulla,2026-04-15,148,none,0,67.53,AMBER,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Inspect wheel profile and axle bearings within 7 days.,,2.88,,,56.7,129.6,,,,,,,,,,,,
0e0cd5eb-a217-4252-9920-49e09c126000,SG-1007,signal_unit,Vavuniya,Colombo Fort - Matara,2026-03-25,169,none,0,61.49,AMBER,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Check relay contacts and response time within 2 days.,,,,,,,,,,214,23.3,0.358,,,,,,
8e2a6714-45e9-4281-973d-c6d5f097e3f8,TR-1006,track_section,Veyangoda,Colombo Fort - Kandy,2026-08-30,11,none,0,85.69,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue routine geometry inspections.,,,,,,,,,,,,,0.76,1.24,6.9,,,
2848243c-ebf4-4494-80fb-aa7e315b5614,EL-1009,electric_loco,Ambalangoda,Colombo Fort - Badulla,2026-05-07,126,none,0,76.29,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal service cycle. No action required.,88.4,3.29,4.22,84.8,,,,,,,,,,,,,,
9768a7f5-b70e-48e4-90fb-50b2242e98bc,TR-1007,track_section,Maho,Colombo Fort - Galle,2026-03-16,178,none,0,68.93,AMBER,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Schedule track geometry check within 5 days. Inspect rail joints.,,,,,,,,,,,,,3.85,2.68,9.1,,,
9da58711-f43f-45f9-8472-18dfa46414c1,SG-1008,signal_unit,Hambantota,Colombo Fort - Matara,2026-06-21,81,none,0,86.85,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue normal monitoring schedule.,,,,,,,,,,144,23.4,0.132,,,,,,
2bd534ca-0e04-461c-bb30-07f9174c20a5,BR-1005,brake_system,Polgahawela,Kandy - Badulla,2026-05-12,121,none,0,74.94,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue routine checks. No immediate action required.,,,,,,,12.6,5.91,297,,,,,,,,,
ab83022d-bc65-45f4-b401-1251c687a68e,SG-1009,signal_unit,Anuradhapura,Colombo Fort - Badulla,2026-08-22,19,none,0,92.27,GREEN,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Continue normal monitoring schedule.,,,,,,,,,,155,23.9,0.107,,,,,,
4b8d6561-d0dd-4c91-a736-51fd7877b6b8,BG-1009,bogie,Ambalangoda,Colombo Fort - Galle,2026-03-14,180,suspension_worn,1,39.83,RED,Coil spring sag of 12mm beyond tolerance. Springs replaced. Ride height restored to spec.,Withdraw asset from service. Full bogie overhaul required. See Bogie Guide Section 5.,,5.4,,,69.2,127.0,,,,,,,,,,,,
98b6d908-357a-423c-9238-0be52d06fe12,TR-1008,track_section,Polonnaruwa,Colombo Fort - Matara,2026-06-05,97,none,0,82.77,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue routine geometry inspections.,,,,,,,,,,,,,1.92,0.89,8.7,,,
cad376d7-c3ba-4c5d-ad9b-8939719265ae,BR-1006,brake_system,Hikkaduwa,Colombo Fort - Matara,2026-04-09,154,none,0,65.35,AMBER,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Inspect brake pads and cylinders within 3 days. Test stopping distance.,,,,,,,13.2,5.51,292,,,,,,,,,
29111cc0-effd-487d-b757-df4f876c10a4,SG-1010,signal_unit,Trincomalee,Colombo Fort - Badulla,2026-08-09,32,none,0,79.02,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal monitoring schedule.,,,,,,,,,,172,22.5,0.202,,,,,,
337c6ca6-1685-4fba-b79a-057c1c35ff7e,SG-1011,signal_unit,Veyangoda,Colombo Fort - Trincomalee,2026-05-15,118,response_delay,3,54.96,AMBER,Slow signal response traced to corroded terminal block. Block cleaned and retightened.,Check relay contacts and response time within 2 days.,,,,,,,,,,261,22.2,0.391,,,,,,
3f772cfa-fefa-449a-ba6b-2903262aa0a4,BG-1010,bogie,Ragama,Colombo Fort - Badulla,2026-09-06,4,none,0,100.0,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal inspection schedule. Next check in 30 days.,,1.12,,,35.2,135.4,,,,,,,,,,,,
07aa6057-c768-4d5a-852d-97692a473425,SG-1012,signal_unit,Maho,Colombo Fort - Galle,2026-09-05,5,none,0,94.57,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue normal monitoring schedule.,,,,,,,,,,152,24.7,0.125,,,,,,
99b8ac6a-70bd-4631-a60d-12d01be5113f,SG-1013,signal_unit,Polonnaruwa,Colombo Fort - Jaffna,2026-07-30,42,none,0,95.75,GREEN,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Continue normal monitoring schedule.,,,,,,,,,,126,23.9,0.072,,,,,,
568e89d4-71dd-4bb0-8a80-36e1333f2748,DE-1006,diesel_engine,Colombo Fort,Colombo Fort - Jaffna,2026-04-16,147,none,0,75.35,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal scheduled maintenance. Next service in 30 days.,85.3,2.95,3.81,86.0,,,,,,,,,,,,,,
6ce94b23-d07b-4e45-8f4a-aec344ce66ee,SG-1014,signal_unit,Vavuniya,Colombo Fort - Trincomalee,2026-03-19,175,none,0,59.29,AMBER,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Check relay contacts and response time within 2 days.,,,,,,,,,,265,23.4,0.379,,,,,,
46c29af9-4446-4254-9800-1e64ea856d7e,SG-1015,signal_unit,Ragama,Colombo Fort - Matara,2026-03-29,165,none,0,62.98,AMBER,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Check relay contacts and response time within 2 days.,,,,,,,,,,240,21.8,0.386,,,,,,
45a899f2-8fcc-435e-917b-a5f040c99512,SG-1016,signal_unit,Nanu Oya,Colombo Fort - Galle,2026-04-30,133,none,0,80.67,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue normal monitoring schedule.,,,,,,,,,,171,24.1,0.182,,,,,,
a44e5271-1908-4990-9532-bbf1f59b2023,TR-1009,track_section,Moratuwa,Colombo Fort - Jaffna,2026-06-20,82,none,0,79.97,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue routine geometry inspections.,,,,,,,,,,,,,2.51,1.49,8.1,,,
fb9fad5d-6e13-443a-b763-56853f9e953f,BR-1007,brake_system,Aluthgama,Colombo Fort - Badulla,2026-06-16,86,brake_fade,2,42.61,AMBER,Crew reported soft pedal. Air reservoir pressure dropping. Leak traced to union fitting.,Inspect brake pads and cylinders within 3 days. Test stopping distance.,,,,,,,9.0,5.37,318,,,,,,,,,
69c103ec-29c3-4a21-9b63-3222c55aa6b8,BR-1008,brake_system,Matara,Colombo Fort - Galle,2026-08-20,21,none,0,95.54,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue routine checks. No immediate action required.,,,,,,,16.3,6.62,256,,,,,,,,,
8a1ff0af-fb72-43c2-9864-e351bca5c0a3,BR-1009,brake_system,Colombo Fort,Colombo Fort - Kandy,2026-06-27,75,none,0,88.17,GREEN,Monthly service carried out. Fluid levels checked. All systems operating normally.,Continue routine checks. No immediate action required.,,,,,,,16.0,6.02,254,,,,,,,,,
f68030a6-c8d6-4f5f-98c7-60902d4ec759,BG-1011,bogie,Hikkaduwa,Colombo Fort - Matara,2026-06-18,84,none,0,78.22,GREEN,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Continue normal inspection schedule. Next check in 30 days.,,2.0,,,48.0,131.9,,,,,,,,,,,,
b837e20b-70fa-496c-8b93-16480880c6d3,DE-1007,diesel_engine,Hambantota,Colombo Fort - Trincomalee,2026-03-18,176,fuel_pump_fault,4,57.11,AMBER,"Fuel delivery pressure below spec at 180 bar. Pump replaced, pressure verified at 220 bar.",Schedule inspection within 7 days. Check oil and cooling system.,93.6,4.47,3.44,80.7,,,,,,,,,,,,,,
079ce521-1a8d-47af-a23e-7d19a314e705,TR-1010,track_section,Vavuniya,Colombo Fort - Galle,2026-06-10,92,sleeper_rot,1,65.33,AMBER,Timber sleeper rot detected in 8 consecutive sleepers. All replaced with concrete sleepers.,Schedule track geometry check within 5 days. Inspect rail joints.,,,,,,,,,,,,,4.08,2.34,11.1,,,
3ae69bc3-268c-4eff-ae44-8c1c378865c3,SG-1017,signal_unit,Polonnaruwa,Colombo Fort - Badulla,2026-08-15,26,none,0,85.64,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal monitoring schedule.,,,,,,,,,,153,23.1,0.17,,,,,,
ba575aa6-963a-4a33-96d1-948bb039ddf5,BG-1012,bogie,Jaffna,Colombo Fort - Badulla,2026-08-12,29,none,0,88.57,GREEN,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Continue normal inspection schedule. Next check in 30 days.,,1.69,,,40.4,133.0,,,,,,,,,,,,
b0dc5ae8-bc52-4695-8aff-7a22b350b0ce,TR-1011,track_section,Vavuniya,Colombo Fort - Kandy,2026-07-09,63,ballast_shortage,2,44.62,AMBER,Track geometry out of spec. Full tamping run completed. Geometry now within tolerance.,Schedule track geometry check within 5 days. Inspect rail joints.,,,,,,,,,,,,,6.1,4.48,17.5,,,
04fd18d1-5af9-4ab7-9ed3-93b0bf923f4a,BG-1013,bogie,Moratuwa,Colombo Fort - Badulla,2026-06-24,78,none,0,93.79,GREEN,Scheduled preventive maintenance carried out. Lubrication and cleaning completed.,Continue normal inspection schedule. Next check in 30 days.,,1.61,,,43.9,135.1,,,,,,,,,,,,
18446886-3e93-40a5-951b-7b4d1076ddab,BG-1014,bogie,Ragama,Colombo Fort - Galle,2026-07-11,61,suspension_worn,5,78.05,GREEN,Secondary suspension air bag deflated during inspection. Leak found at fitting. Re-sealed.,Continue normal inspection schedule. Next check in 30 days.,,2.34,,,46.1,131.8,,,,,,,,,,,,
1954dba3-f375-406f-a360-3752850a536b,SG-1018,signal_unit,Ambalangoda,Colombo Fort - Trincomalee,2026-05-17,116,lamp_failure,5,57.86,AMBER,"Two signal lamps flickering due to corroded holders. Cleaned holders, replaced lamps.",Check relay contacts and response time within 2 days.,,,,,,,,,,264,21.7,0.348,,,,,,
bf50ebc9-f723-4bc7-85a1-fa017814ae94,DE-1008,diesel_engine,Maho,Kandy - Badulla,2026-08-03,38,none,0,89.56,GREEN,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Continue normal scheduled maintenance. Next service in 30 days.,78.7,2.26,4.39,89.9,,,,,,,,,,,,,,
ddf2a955-1104-46db-9859-a35375b6c99e,BR-1010,brake_system,Badulla,Kandy - Badulla,2026-06-25,77,none,0,75.68,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue routine checks. No immediate action required.,,,,,,,15.7,5.89,275,,,,,,,,,
feb73082-5e2e-4e9c-83b8-c0f473b6053d,LC-1005,level_crossing,Hikkaduwa,Colombo Fort - Jaffna,2026-04-09,154,none,0,69.41,AMBER,Routine inspection completed. No issues found. All readings within normal range.,Inspect gate mechanism and sensors within 3 days.,,,,,,,,,,,,,,,,4.37,12.4,92.7
f3d328ef-064c-4287-8d99-44bb605c0bc8,PG-1005,platform_gate,Aluthgama,Colombo Fort - Trincomalee,2026-07-04,68,none,0,78.06,GREEN,Periodic check completed. Torque checked on all fasteners. No corrective action required.,Continue routine operational checks.,,,,,,,,,,,,,,,,3.39,10.3,91.4
84306c55-6979-4bd6-ae99-8cfdf18314d9,EL-1010,electric_loco,Moratuwa,Colombo Fort - Badulla,2026-04-01,162,none,0,67.36,AMBER,Routine inspection completed. No issues found. All readings within normal range.,Check electrical systems within 5 days. Run full diagnostic cycle.,93.0,3.39,3.54,86.4,,,,,,,,,,,,,,
e244c3dc-5489-4e7e-9295-6d6e282ce04b,TR-1012,track_section,Kandy,Colombo Fort - Badulla,2026-03-17,177,none,0,62.86,AMBER,Routine inspection completed. No issues found. All readings within normal range.,Schedule track geometry check within 5 days. Inspect rail joints.,,,,,,,,,,,,,4.03,2.98,12.5,,,
b5b5c16c-20b2-415f-9f37-2eaa19fb476e,BG-1015,bogie,Kandy,Colombo Fort - Kandy,2026-05-30,103,none,0,77.94,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal inspection schedule. Next check in 30 days.,,2.33,,,50.2,130.9,,,,,,,,,,,,
df87edb5-ae16-439e-a808-fcf664dbb5a5,EL-1011,electric_loco,Peradeniya,Colombo Fort - Matara,2026-05-06,127,none,0,74.04,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal service cycle. No action required.,84.7,2.4,3.71,83.9,,,,,,,,,,,,,,
97de787b-4959-4909-8a1a-520dc00fb489,DE-1009,diesel_engine,Kalutara,Colombo Fort - Matara,2026-07-11,61,none,0,87.77,GREEN,Routine inspection completed. No issues found. All readings within normal range.,Continue normal scheduled maintenance. Next service in 30 days.,80.3,2.28,4.07,90.3,,,,,,,,,,,,,,
d46729df-b393-47ae-a04c-86d0d6a6cd03,BR-1011,brake_system,Gampaha,Kandy - Badulla,2026-08-02,39,none,0,87.26,GREEN,Inspection passed. Sensor readings nominal. Documentation updated in maintenance log.,Continue routine checks. No immediate action required.,,,,,,,15.0,6.16,284,,,,,,,,,
18118689-b32e-46b4-a99c-c4305283fa1d,BG-1016,bogie,Hambantota,Colombo Fort - Galle,2026-06-04,98,suspension_worn,1,50.62,AMBER,Secondary suspension air bag deflated during inspection. Leak found at fitting. Re-sealed.,Inspect wheel profile and axle bearings within 7 days.,,4.04,,,61.0,129.3,,,,,,,,,,,,
